,name,instructions,ingredients
0,How to Freeze Bananas,"Peel the banana(s) and cut them into ½-inch thick slices. Line a baking sheet with parchment paper and lay the banana slices on the lined baking sheet in a single layer. Freezing the bananas individually first helps prevent them from sticking together in one large clump when frozen. Freeze the bananas for 1-2 hours, or until solid, then transfer to an air-tight, freezer-safe container, like a freezer bag, glass meal prep container, or glass jar. Label the container with the contents and date. For best results, use within three months.",1 brown banana; parchment paper; baking sheet; freezer safe containers
1,Costco Mac and Cheese,"Preheat the oven to 400°F.Cook the pasta in salted water according to the package directions for al dente. Drain, but do not rinse the pasta.While the pasta is cooking, melt the butter in a saucepan over medium heat. Add the garlic and cook until fragrant, 1 to 2 minutes.Slowly add the flour and stir until well combined. Cook, stirring frequently, for 1 minute.In a small bowl, mix together the milk, cream, salt and pepper. Pour the mixture into the saucepan in a slow, steady stream, stirring constantly. Bring the mixture to a boil. Then reduce the heat to a simmer and cook until thickened, about 5 minutes.Remove the saucepan from the heat. Stri in the Parmesan and Romano cheeses until melted. If desired, add additional salt and pepper to taste.Add the cooked pasta to the saucepan, and stir to coat. Transfer the pasta to a 13×9 baking dish. Top the pasta with the grated cheddar cheese.Bake, uncovered, for 15 to 20 minutes, until the cheese is melted and the sauce is bubbly.",1 pound cavatappi pasta; 1/4 cup butter; 4 cloves garlic minced; 1/4 cup flour; 2 1/2 cups milk; 1 cup heavy whipping cream; 1/2 teaspoon salt; 1/8 teaspoon ground black pepper; 1/2 cup grated Parmesan cheese; 1/2 cup grated Romano cheese; 1 cup grated cheddar cheese
2,20 Minute Healthy Sesame Chicken,"In a medium bowl, combine the soy sauce, honey, sriracha, ginger, garlic, sesame seeds and sesame oil. Set aside. In a large bowl combine the chicken, cornstarch, and a pinch of salt and pepper. Heat a large pan over high heat for at least 2 minutes. Add oil and chicken to pan. Stir-fry chicken for 5-6 minutes or until it's golden brown. Add the sauce and allow the sauce to simmer for 3-4 minutes or until the sauce is thick and sticky. Remove chicken from pan, sprinkle with chopped spring onions and more sesame seeds if desired. Serve with hot white rice or noodles."," 1 pound boneless skinless chicken breasts , (cut into 1/2 inch strips or cubes);  2 Tablespoons cornstarch;  1 pinch each salt & pepper;  1 tablespoon olive oil, or sesame;  Cooked white rice for serving;  Small bunch spring onions, scallions, chopped;  For the sauce;  3 Tablespoons soy sauce;  2 tablespoons honey;  1 teaspoon sriracha, add more for more heat;  1 teaspoon fresh ginger, grated;  1 clove garlic, minced;  2 Tablespoons sesame seeds;  1 tablespoon sesame oil, optional"
3,Larb Gai (Chicken Larb),"Roast 2 cups dried bird chiles, pulla chiles, or chiles de árbol, stemmed in a dry wok over medium-low heat, stirring occasionally, until they turn a deep, dark crimson (almost brown) and give off a sweet and earthy smell (not burnt). The process shouldn’t take more than 10 minutes, but it pays to be vigilant in making sure they toast evenly and slowly. Remove from heat and let sit until cool enough to handle. Transfer to a food processor, blender, or spice grinder and grind until slightly finer than the crushed red pepper you’d find at a pizza shop. Be careful not to breathe in any chile dust when you remove the lid. Do Ahead: Roasted chile powder can be made 3 months ahead. Store in a sealed container in a cool, dry place. Cook 1 cup uncooked glutinous rice or jasmine rice in a dry wok over medium heat, stirring occasionally at first, then more frequently as it browns. Once you smell the toasting rice, stir in 1¼"" piece fresh galangal, cut into thin coins, 1 Tbsp. thinly sliced lemongrass, and 2 makrut (Thai) lime leaves. Continue to cook until rice develops a deep amber golden hue, about the same color as brown rice, 15–20 minutes. Let cool. Transfer rice mixture to a food processor or spice grinder and pulse until mixture is the consistency of granulated sugar. Do Ahead: Toasted rice powder can be made 1 month ahead. Store in an airtight container in a cool, dry place. Place ¾ lb. ground chicken in a small saucepan and cover with water. Cook over medium heat, stirring, until chicken is opaque but still soft. Using a spatula or spoon, break meat into small clumps. Drain off water, then stir in 3 Tbsp. fish sauce and 1 tsp. sugar until sugar is dissolved. Let cool. Add seasonings, in this order, giving a quick toss after each addition: 1½ Tbsp. Roasted Chile Powder, ½ cup thinly sliced (root to stem) red onion or shallots, ¼ cup thinly sliced green onions, 12 mint leaves, torn, ½ cup coarsely chopped cilantro leaves with tender stems, and 2 Tbsp. fresh lime juice. Once you’re ready to serve, add 1 Tbsp. Toasted Rice Powder at the last moment. Serve with the leaves from 2 small wedges green cabbage, ½ cucumber, peeled lengthwise in striped segments, cut crosswise into ½"" slices, and 16 green beans, trimmed (uncooked), and cooked sticky rice alongside. Editor’s Note: This recipe first appeared on Bon Appétit in October 2017. Head this way for more of our favorite Thai recipes →","2 cups dried bird chiles, pulla chiles, or chiles de árbol, stemmed; 1 cup glutinous or jasmine rice; 1¼ "" piece fresh galangal, cut into thin coins; 1 Tbsp. thinly sliced lemongrass; 2 makrut (Thai) lime leaves; ¾ lb. ground chicken; 3 Tbsp. fish sauce; 1 tsp. white or brown sugar; ½ cup thinly sliced (root to stem) red onion or shallots; ¼ cup thinly sliced green onions; 12 mint leaves, torn; ½ cup coarsely chopped cilantro leaves with tender stems; 2 Tbsp. fresh lime juice; 2 small wedges green cabbage; ½ cucumber, peeled lengthwise in striped segments, cut crosswise into ½"" slices; 16 green beans, trimmed;  Cooked sticky rice (for serving)"
4,Avocado Caesar Green Beans,"Make the Avocado Caesar: Blitz everything in a small blender jar until smooth sauce / dressing forms. Taste and adjust (look out, it’s really good). If it’s too thick, add some extra water until it drizzles smoothly off the end of a spoon. Make the Panko Crispies: Mix panko, garlic powder, olive oil, and salt in a small microwave-safe bowl. Microwave in 30 second increments, stirring after each one, until the panko starts to turn golden (about 2-3 minutes total). It’ll be very hot – be careful, don’t taste it yet. Cook the Green Beans: Boil green beans for 3-5 minutes until bright green. If you want to preserve the best color, drain and transfer to a bowl with ice water to shock the green beans and stop them from cooking further. Not necessary, but I do this sometimes because I like the very bright green! Assemble and Serve: Arrange the green beans on a platter, top with dollops of the avocado caesar, and sprinkles of panko crispies and grated Parmesan. (You’ll probably have a little bit of avocado caesar left which I never have any issues using up!) Add lemon zest, black pepper, or chili flakes if you want. Serve warm or cold with your favorite protein, and maybe a little extra sauce for dunking. So good!","half an avocado; 1/4 cup mayonnaise ; 1/4 cup water (up to 1/2 cup); 1 large clove garlic; 1/2 tablespoon Dijon mustard; 2 tablespoons lemon juice; 1/2 teaspoon salt; 1 cup panko breadcrumbs ; 1/2 teaspoon garlic powder; 2 tablespoons olive oil; pinch of salt; 12 ounces green beans, ends trimmed; Parmesan for topping"
5,Lemony Asparagus Pasta,"Bring a large pot of salted water to a boil. Add 1 lb. spaghetti and cook pasta, stirring occasionally, until al dente. Drain pasta, reserving 1½ cups pasta cooking water. Meanwhile, heat ⅔ cup extra-virgin olive oil in a large Dutch oven or other heavy pot over medium-high until shimmering. Add 1 large bunch asparagus, trimmed, thinly sliced on a deep diagonal, season with kosher salt, and cook, stirring often, until just beginning to take on color, about 1 minute. Add 4 garlic cloves, smashed, 4 (3""-long) strips lemon zest, and ½ tsp. crushed red pepper flakes; cook, stirring, until fragrant, about 30 seconds. Remove from heat and let sit until pasta is done. Add cooked pasta and 8 large fresh basil leaves to pot with asparagus mixture and return to medium-high heat. Squeeze juice from 2 lemons, halved, into pot and add 2 oz. freshly grated Parmesan cheese (about 1 cup), and 1 cup reserved pasta cooking liquid. Cook, tossing vigorously and adding more pasta cooking liquid if needed, until sauce is creamy and emulsified and pasta is coated, about 1 minute. Taste and season with more salt if needed. Remove and discard garlic. Divide pasta among bowls, garnish each with a lemon strip, and top with more Parmesan cheese.
Editor’s note: This asparagus pasta recipe was first printed in our April 2020 issue as “Spaghetti al Limone With Asparagus.” Head this way for more of our very best pasta dinners →"," Kosher salt; 1 lb. spaghetti; ⅔ cup extra-virgin olive oil; 1 large bunch asparagus, trimmed, thinly sliced on a deep diagonal; 4 garlic cloves, smashed; 4 (3""-long) strips lemon zest, plus 2 lemons, halved; ½ tsp. crushed red pepper flakes; 8 large fresh basil leaves; 2 oz. freshly grated Parmesan cheese (about 1 cup), plus more for serving"
6,Your Best Grilled Burger,"Gather the ingredients. Heat a gas grill on high for 10 minutes with the lid closed or prepare a hot charcoal grill fire. Meanwhile, divide 1 1/3 pounds (21 ounces) cold ground beef (80 percent lean) into 4 equal portions and shape the meat into patties that are wider than your buns (the burgers will shrink a bit during grilling). If you have two deli lids, use those to form the patty. Otherwise, form the patties so there is a depression in the center with an approximately 1/2-inch wide rim around the edge. Handle the meat as little as possible. Season the burger patties with 1 1/2 teaspoons fine salt and 1 teaspoon freshly ground black pepper on both sides. When the grill is ready, place the burgers over direct heat and let sit without flipping or moving until nicely charred and the patties release easily from the grill grate, 4 to 5 minutes. The burgers should release easily from the grill. If you try to flip them and they’re sticking, wait another minute or so. Flip the burger patties and cook, undisturbed, for 4 to 5 minutes more or until cooked to your liking (use a thermometer if needed: the internal temperature should be 135 F for medium-rare burgers or 145 F for medium). In the last minute or so of cooking, place 4 sesame burger buns on the grill to toast and place 1 or 2 slices of the 4 to 8 slices American cheese, if using, on top of each burger patty to melt. Serve the burgers right away on the toasted buns with your choice of optional toppings: mayonnaise, leaf lettuce, sliced tomato, sliced onion, and/or pickles.","1 1/3 pounds (21 ounces) cold ground beef (80 percent lean); 1 1/2 teaspoons fine salt; 1 teaspoon freshly ground black pepper; 4 sesame burger buns; 4 to 8 slices American cheese, optional; Optional toppings: mayonnaise, leaf lettuce, sliced tomato, sliced onion, pickles"
7,Raspberry Bars with Oatmeal Cookie Crumble,"Preheat oven to 350 degrees F. Line an 8x8 inch pan with parchment paper and generously spray with nonstick cooking spray. Set aside. Make the base + topping: In a large bowl, use a fork to mix together the oat flour (or flour), oats, coconut or brown sugar, baking soda, salt and lemon zest, if using. Add in melted butter, vanilla extract and almond extract and stir until a nice crumble forms and dough begins to clump together. Place 1 3/4 cups of the mixture into the prepared pan and place the remaining mixture into the fridge (the remaining mixture will be used for the topping). Use your hands to evenly press the dough to the bottom of the pan. Next make your raspberry filling: place a medium pot over medium heat. Add in raspberries, maple syrup, vanilla extract, tapioca flour or arrowroot, lemon zest and juice, if using, and salt. Use a wooden spoon to press down and break down the raspberries just a bit. Bring to a boil, then reduce heat to a simmer and cook for 3-5 more minutes until mixture is thickened up and nicely coats the back of a wooden spoon. Pour mixture over the crust and use a spoon to spread evenly over the base. Take the remaining topping out of the fridge. By now there should be some nice crumbles that have clumped together. Sprinkle the topping over the filling. Bake for 30 minutes or until the filling is bubbly and the topping is golden. Allow bars to cool completely on a wire rack before transferring to the fridge to chill. Bars are delicious served at room temperature or straight out of the fridge. Use a sharp knife to cut into 12 or 16 bars before serving.","For the base + topping:; 1 1/2 cups gluten free oat flour (or sub all purpose flour or 1:1 gf all purpose flour); 1 cup old-fashioned rolled oats, gluten free if desired; 1/2 cup packed brown sugar (or sub coconut sugar but you may not get the best 'crumble'); ¼ teaspoon baking soda; ¼ teaspoon salt; Optional to make it lemon flavored: zest from 1 lemon; 8 tablespoons butter or vegan butter stick, melted; 1 teaspoon vanilla extract; ¼ teaspoon almond extract; For the raspberry filling:; 3 heaping cups fresh or frozen raspberries; 3 tablespoons pure maple syrup; 1 teaspoon vanilla extract; 1 tablespoon tapioca flour or arrowroot starch (can also use cornstarch); Optional to make the with a hint of lemon flavor: zest from 1 lemon and 1 tablespoon lemon juice; Pinch of salt"
8,"Roasted tomato, basil & parmesan quiche","To make the pastry, tip the flour and butter into a bowl, then rub together with your fingertips until completely mixed and crumbly. Add 2-4 tbsp water, or enough to bring everything together until just combined. Roll into a ball and use straight away or chill for up to 2 days. The pastry can also be frozen for up to a month. Roll out the pastry on a lightly floured surface to a round about 5cm larger than a 25cm tin. Use your rolling pin to lift it up, then drape over the tart case so there is an overhang of pastry on the sides. Using a small ball of pastry scraps, push the pastry into the corners of the tin. Chill in the fridge or freezer for 20 mins. Heat oven to 200C/fan 180C/gas 6. In a small roasting tin, drizzle the tomatoes with olive oil and season with salt and pepper. Put the tomatoes in a low shelf of the oven. Lightly prick the base of the tart with a fork, line the tart case with a large circle of greaseproof paper or foil, then fill with baking beans. Blind-bake the tart for 20 mins, remove the paper and beans, then continue to cook for 5-10 mins until biscuit brown. When you remove the tart case from the oven, take out the tomatoes, too. While the tart is cooking, beat the eggs in a large bowl. Gradually add the cream, then stir in the basil and season. When the case is ready, sprinkle half the cheese over the base, scatter over the tomatoes, pour over the cream mix, then finally scatter over the rest of the cheese. Bake for 20-25 mins until set and golden brown. Leave to cool in the case, trim the edges of the pastry, then remove from the tin. Scatter over the remaining basil and serve in slices.","300g cherry tomatoes; drizzle olive oil; 50g parmesan (or vegetarian alternative), grated ; 2 eggs; 284ml pot double cream; handful basil  leaves, shredded, plus a few small ones left whole for scattering; 280g plain flour, plus extra for dusting; 140g cold butter, cut into pieces"
9,Whipped Feta Dip,"To a bowl of a food processor or blender, add the block of feta cheese, Greek yogurt, sour cream, lemon juice, olive oil, and garlic. Blend the ingredients until smooth and creamy. Taste to adjust any of the ingredients to your preference. You may need to add salt if desired. Spoon the whipped feta dip out onto a serving bowl or plate. Use the back of the spoon to create swoops or swirls on the surface of the dip. Drizzle generously with the olive oil and top with red pepper flakes, parsley or mint, or your favorite toppings. Serve with crackers, toasted bread, pita chips or pita bread, or your favorite veggies."," 8 ounces feta cheese, 1 block;  1/2 cup Greek yogurt;  1/2 cup sour cream, or more greek yogurt;  2 Tablespoons lemon juice;  2 Tablespoons olive oil;  1 garlic clove, minced;  Aleppo red pepper flakes,chopped parsley or mint, for garnish;  Pita bread or crackers, for serving"
